date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:08	32882/32882	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:09%20GMT	https://demo.arrowthemes.com/html/truford/?page=content-right	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexc5d5.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:08	230763/230763	---M--	200	added ('OK')	image/jpeg	etag:%223856b-5828dbc99fbd0%22	https://demo.arrowthemes.com/html/truford/images/demo/default/slideshow/3.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/default/slideshow/3.jpg	(from https://demo.arrowthemes.com/html/truford/)
13:23:08	4785/4785	---M--	200	added ('OK')	image/svg+xml	etag:%2212b1-5754443c89cc0%22	https://demo.arrowthemes.com/html/truford/images/demo/signature/sign-1.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/signature/sign-1.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:09	33018/33018	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:09%20GMT	https://demo.arrowthemes.com/html/truford/?page=left-right-content	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index3b93.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:09	63672/63672	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:09%20GMT	https://demo.arrowthemes.com/html/truford/?page=uikit-elements	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index6053.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:09	1061/1061	---M--	200	added ('OK')	image/svg+xml	etag:%22425-575aa806becc0%22	https://demo.arrowthemes.com/html/truford/images/icons/icon-1.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/icons/icon-1.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:10	122916/122916	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:10%20GMT	https://demo.arrowthemes.com/html/truford/?page=lawford-icons	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexb8bc.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:10	32496/32496	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:10%20GMT	https://demo.arrowthemes.com/html/truford/?page=color-styles	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index9027.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:10	67292/67292	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:10%20GMT	https://demo.arrowthemes.com/html/truford/?page=rtl-language-support&direction=rtl	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index206c.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:10	1695/1695	---M--	200	added ('OK')	image/svg+xml	etag:%2269f-575aa806becc0%22	https://demo.arrowthemes.com/html/truford/images/icons/icon-2.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/icons/icon-2.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:11	28695/28695	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:10%20GMT	https://demo.arrowthemes.com/html/truford/?page=404	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index4d9f.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:11	12375/12375	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:11%20GMT	https://demo.arrowthemes.com/html/truford/?page=coming-soon	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexa80a.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:11	47430/47430	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:11%20GMT	https://demo.arrowthemes.com/html/truford/?page=about-us	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexe2c5.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:11	45191/45191	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:11%20GMT	https://demo.arrowthemes.com/html/truford/?page=our-services	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexc5d9.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:11	1489/1489	---M--	200	added ('OK')	image/svg+xml	etag:%225d1-575aa806becc0%22	https://demo.arrowthemes.com/html/truford/images/icons/icon-3.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/icons/icon-3.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:12	34608/34608	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:12%20GMT	https://demo.arrowthemes.com/html/truford/?page=single-service	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index9d07.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:12	42106/42106	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:12%20GMT	https://demo.arrowthemes.com/html/truford/?page=our-team	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexd792.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:12	36587/36587	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:12%20GMT	https://demo.arrowthemes.com/html/truford/?page=faqs	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index7ede.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:12	4981/4981	---M--	200	added ('OK')	image/svg+xml	etag:%221375-575aa806becc0%22	https://demo.arrowthemes.com/html/truford/images/icons/icon-4.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/icons/icon-4.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:12	34867/34867	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:13%20GMT	https://demo.arrowthemes.com/html/truford/?page=3-column-gallery	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index37c9.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:12	61335/61335	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:13%20GMT	https://demo.arrowthemes.com/html/truford/?page=our-pricing	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index8492.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:13	1195/1195	---M--	200	added ('OK')	image/svg+xml	etag:%224ab-575aa806becc0%22	https://demo.arrowthemes.com/html/truford/images/icons/icon-5.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/icons/icon-5.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:13	41697/41697	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:13%20GMT	https://demo.arrowthemes.com/html/truford/?page=gallery-filters	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index9de8.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:13	36386/36386	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:13%20GMT	https://demo.arrowthemes.com/html/truford/?page=5-column-gallery	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexf104.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:14	36825/36825	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:14%20GMT	https://demo.arrowthemes.com/html/truford/?page=testimonials	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index86da.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:14	1340/1340	---M--	200	added ('OK')	image/svg+xml	etag:%2253c-575aa806becc0%22	https://demo.arrowthemes.com/html/truford/images/icons/icon-6.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/icons/icon-6.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:14	31028/31028	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:14%20GMT	https://demo.arrowthemes.com/html/truford/?page=events	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexdfed.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:15	36383/36383	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:14%20GMT	https://demo.arrowthemes.com/html/truford/?page=4-column-gallery	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index6298.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:15	63373/63373	---M--	200	added ('OK')	image/jpeg	etag:%22f78d-57ed870335000%22	https://demo.arrowthemes.com/html/truford/images/background/bg-image-2.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/background/bg-image-2.jpg	(from https://demo.arrowthemes.com/html/truford/)
13:23:15	63011/63011	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:15%20GMT	https://demo.arrowthemes.com/html/truford/?page=elements-typography	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexbeac.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:15	37257/37257	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:15%20GMT	https://demo.arrowthemes.com/html/truford/?page=elements-column-blocks	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index6faf.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:15	37009/37009	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:15%20GMT	https://demo.arrowthemes.com/html/truford/?page=elements-buttons	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index41a9.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:16	38204/38204	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:16%20GMT	https://demo.arrowthemes.com/html/truford/?page=elements-dropdowns	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index8134.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:16	63157/63157	---M--	200	added ('OK')	image/jpeg	etag:%22f6b5-57ed870335000%22	https://demo.arrowthemes.com/html/truford/images/demo/cases/case-1.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/cases/case-1.jpg	(from https://demo.arrowthemes.com/html/truford/)
13:23:16	65551/65551	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:16%20GMT	https://demo.arrowthemes.com/html/truford/index.php?option=com_content&view=article&id=31&Itemid=238	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexf94d.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:16	35844/35844	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:16%20GMT	https://demo.arrowthemes.com/html/truford/?page=elements-alerts	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexf26e.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:16	35154/35154	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:17%20GMT	https://demo.arrowthemes.com/html/truford/?page=elements-panels	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index66cb.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:17	68009/68009	---M--	200	added ('OK')	image/jpeg	etag:%22109a9-57ed870335000%22	https://demo.arrowthemes.com/html/truford/images/demo/cases/case-2.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/cases/case-2.jpg	(from https://demo.arrowthemes.com/html/truford/)
13:23:17	55364/55364	---M--	200	added ('OK')	image/jpeg	etag:%22d844-57ed870335000%22	https://demo.arrowthemes.com/html/truford/images/demo/cases/case-3.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/cases/case-3.jpg	(from https://demo.arrowthemes.com/html/truford/)
13:23:18	38231/38231	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:17%20GMT	https://demo.arrowthemes.com/html/truford/?page=elements-accordion	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexdbbe.html	(from https://demo.arrowthemes.com/html/truford/)
